"","mean","median","min","max","std","skew","kurt","entropy"
"air_rework","0.0835538752362949","0.0","0.0","1.0","0.2767699154015822","3.011608075564226","7.075132446959026","0.41457934100367944"
"raptor_endless","0.08204158790170132","0.0","0.0","1.0","0.2744799617539262","3.047761193071701","7.29436330622252","0.4093323139090448"
"emprework","0.07561436672967864","0.0","0.0","1.0","0.26443008583132627","3.2122424441354727","8.324795691279482","0.38653439591906014"
"multiplier_radarrange","1.152022684310019","1.0","1.0","10.0","0.9328193398598378","8.58051451589377","77.2496171931496","0.36299777507613695"
"map_waterlevel","-66.12930056710775","0.0","-10000.0","1600.0","555.7919442037256","-14.396726199090525","239.02098365801007","0.340636441183604"
"proposed_unit_reworks","0.0612476370510397","0.0","0.0","1.0","0.2398293351198169","3.661640254293898","11.41624110077723","0.33237779126437306"
"april1","0.06049149338374291","0.0","0.0","1.0","0.23844028061559944","3.689318671620898","11.619857973335094","0.3293928825177002"
"unit_restrictions_nonukes","0.05595463137996219","0.0","0.0","1.0","0.22987755287894424","3.866244261126504","12.957641956434465","0.3111724521371799"
"multiplier_weaponrange","1.0407939508506616","1.0","1.0","10.0","0.42055198072999306","18.928448601351032","391.6038590613583","0.279263684846605"
"multiplier_turnrate","1.092211720226843","1.0","1.0","10.0","0.6663115561072538","11.356993874846994","144.13430828742392","0.25736729532215097"
"disable_fogofwar","0.040831758034026465","0.0","0.0","1.0","0.19793771286468323","4.643033358358485","19.572557864774744","0.2460928579866931"
"multiplier_weapondamage","1.032930056710775","1.0","0.3","10.0","0.47876297992401523","17.601856815574077","324.3341914754555","0.2268129287350505"
"easteregghunt","0.0332703213610586","0.0","0.0","1.0","0.17937550489128273","5.207877861238837","25.141001460092134","0.21053610041425067"
"map_waterislava","0.03213610586011342","0.0","0.0","1.0","0.17639484209697126","5.30874858470434","26.2026239174386","0.20499372628934562"
"lategame_rebalance","0.02117202268431002","0.0","0.0","1.0","0.143984742858841","6.656126260639508","42.33602835449894","0.14797149523329226"
"easter_egg_hunt","0.018147448015122872","0.0","0.0","1.0","0.13350976451973756","7.223699018337767","50.21980033041696","0.13090868537475692"
"multiplier_maxvelocity","1.050094517958412","1.0","1.0","10.0","0.5964317992983461","14.285803920017603","209.47317341979783","0.11627802094184686"
"scav_graceperiodmult","1.0147826086956522","1.0","0.1","3.0","0.15927217211707947","9.61944365638438","111.96820874664634","0.1141345191392437"
"teamffa_start_boxes_shuffle","0.9848771266540642","1.0","0.0","1.0","0.12206475840466105","-7.950600111032976","61.25836168909498","0.11310177232744206"
"experimentalxpgain","1.1054820415879016","1.0","1.0","10.0","0.9687965518358758","9.07898227235522","80.48877962818028","0.09199280070601733"
"unified_maxslope","0.011342155009451797","0.0","0.0","1.0","0.10591388787655397","9.234438088017676","83.33786164381135","0.08956495698835981"
"unit_restrictions_notacnukes","0.00945179584120983","0.0","0.0","1.0","0.09677809885267291","10.145258391755972","101.00263979182552","0.0771365902235517"
"scav_endless","0.008695652173913044","0.0","0.0","1.0","0.09286171457216857","10.589425962681743","110.21928328405214","0.07201647168541384"
"scav_spawntimemult","1.002117202268431","1.0","0.1","3.0","0.09385052586684266","10.980121760540229","278.0727407200003","0.061170491687109606"
"allowuserwidgets","0.9935727788279773","1.0","0.0","1.0","0.0799270119960997","-12.35993341521454","150.88204198975427","0.05604304184889734"
"scav_spawncountmult","1.016257088846881","1.0","1.0","5.0","0.23683246437064526","15.721365898181226","253.5107441259104","0.05031367628786751"
"unit_restrictions_nolrpc","0.005293005671077505","0.0","0.0","1.0","0.07257396957057193","13.643496418445046","184.28433942424127","0.04764005362964477"
"norush","0.004914933837429111","0.0","0.0","1.0","0.06994731608342356","14.166653779536043","198.84443373962185","0.0447640187945867"
"scav_bosstimemult","1.0000378071833649","1.0","0.1","3.0","0.0652876685089533","8.307164796040025","452.19629709616424","0.04460540843257759"
"unit_restrictions_notech3","0.004536862003780718","0.0","0.0","1.0","0.06721597288273716","14.75357839936168","215.83127451224155","0.041845778143944794"
"april1extra","0.004158790170132325","0.0","0.0","1.0","0.06436661408778446","15.418440996671483","235.90670160537604","0.03888182405217481"
"unit_restrictions_noair","0.0026465028355387526","0.0","0.0","1.0","0.05138576802852814","19.37228425442939","373.5678677207083","0.026471595364345377"
"allowpausegameplay","0.9988657844990548","1.0","0.0","1.0","0.03366537608149445","-29.65915384032989","878.3295494689504","0.012732664734362716"
"unit_restrictions_noconverters","0.0011342155009451795","0.0","0.0","1.0","0.03366537608149445","29.659153840329893","878.3295494689504","0.012732664734362716"
"unit_restrictions_notech2","0.0007561436672967864","0.0","0.0","1.0","0.02749286603013976","36.34554807968571","1319.9969722776586","0.008930965193195696"
"unit_restrictions_noendgamelrpc","0.0003780718336483932","0.0","0.0","1.0","0.01944406936956339","51.42956348249514","2644.9999999999995","0.004843657577442173"
